id,topic,from,to,contents,date,type,party,state,constituency,constituency_type
1,Centrally Sponsored Educational Institutes in Maharashtra,"['Tadas, Shri Ramdas Chandrabhanji', 'Sule, Smt. Supriya Sadanand']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) a comprehensive list of Centrally sponsored educational institutes established in Maharashtra since the year 2014 containing the details such as the courses offered, number of students studied every year, the number of teaching faculty and non-teaching staff, etc. in each institute; (b) the number of graduate students passed out from each institute along with the total budget sanctioned and released for the overall development of these institutes so far; (c) whether the Union Government has not released the total sanctioned funds for the purpose; (d) if so, the details thereof along with the reasons therefor; and (e) the appropriate steps taken or proposed to be taken by the Government to release the rest of the funds for the overall development of these institutes in Maharashtra?",2021-11-29,STARRED,"['Bharatiya Janata Party', 'Nationalist Congress Party']","['Maharashtra', 'Maharashtra']","['Wardha', 'Baramati']","['', '']"
2,Policy on Air Pollution,"['Patil, Shri Bheemrao Baswanthrao']","ENVIRONMENT, FOREST AND CLIMATE CHANGE","Will the Minister of ENVIRONMENT, FOREST AND CLIMATE CHANGE , be pleased to state: (a) the details of current policy for regulating air quality and reducing air pollution across the country; (b) whether the Government has enacted stringent laws to control air pollution levels and penalise/punish violators of the said rules; and (c) whether the Government proposes to provide any uniform pollution limit across the country as per the standards of the World Health Organisation and if so, the details thereof along with the other steps taken by the Government to control and minimize air pollution in the country?",2021-11-29,STARRED,['Telangana Rashtra Samithi'],['Telangana'],['Zahirabad'],['']
3,Ecological Sensitive Areas,"['Kuriakose, Adv. Dean']","ENVIRONMENT, FOREST AND CLIMATE CHANGE","Will the Minister of ENVIRONMENT, FOREST AND CLIMATE CHANGE , be pleased to state: (a) whether the Government has any plans to release the final notification demarcating Ecologically Sensitive Areas based on the Dr. Kasturirangan Panel Report; (b) if so, the details thereof; (c) whether the final status of Ecologically Sensitive Areas with respect to Kerala has been finalised; and (d) if so, the details thereof?",2021-11-29,STARRED,['Indian National Congress'],['Kerala'],['Idukki'],['']
4,Appointment of Directors in PSBs,"['Syed Imtiaz Jaleel, Shri']",FINANCE,"Will the Minister of FINANCE be pleased to state: (a) whether the Banking Companies (Acquisition and Transfer of Undertakings) Act, 1970 and 1980 provide for the representation of Chartered Accountants, Depositers, Agriculture, Cooperation, Law, Small Scale Industries and employees by way of their appointment as Directors on the Board of Directors of the Public Sector Banks (PSBs); (b) if so, the details thereof including the number of such Directors appointed during each of the last five years, PSB-wise; and (c) if such appointments have not been made, the reasons therefor? 2",2021-11-29,STARRED,['All India Majlis-E-Ittehadul Muslimeen'],['Maharashtra'],['Aurangabad'],['']
5,Retail Inflation,"['Vijayakumar (Alias) Vijay Vasanth , Shri', 'Parthiban, Shri S.R.']",FINANCE,"Will the Minister of FINANCE be pleased to state: (a) whether the Government is aware of the jump in the retail inflation as well as the Wholesale Price Index (WPI) to an all time high; (b) if so, the details thereof; (c) whether the Government has assessed the reasons for higher inflation; (d) if so, the details thereof and if not, the reasons therefor; and (e) the corrective steps, if any, being taken by the Government to curtail the spiralling inflation rates in the country?",2021-11-29,STARRED,"['Indian National Congress', 'Dravida Munnetra Kazhagam']","['Tamil Nadu', 'Tamil Nadu']","['Kanniyakumari', 'Salem']","['', '']"
6,National Means-cum-Merit Scholarship (NMMS) Scheme,"['Thakur, Sadhvi Pragya Singh']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) whether the Government proposes to further publicise the NMMS Scheme across the country including Bhopal Parliamentary Constituency; (b) if so, the details of the plan being prepared in this regard and if not, the reasons therefor; and (c) the number of seats available under NMMS Scheme in Madhya Pradesh including Bhopal Parliamentary Constituency along with the number of such seats proposed to be increased, please also give, State-wise, details?",2021-11-29,STARRED,['Bharatiya Janata Party'],['Madhya Pradesh'],['Bhopal'],['']
7,Social Indices in Tribal Communities,"['Pachauri, Shri Satyadev']",TRIBAL AFFAIRS,"Will the Minister of TRIBAL AFFAIRS be pleased to state: (a) whether the tribal communities in the country are lagging behind the other communities in various social indices; (b) whether infant and maternal mortality rates and the cases of women affected by anemia are very high among tribal communities mainly due to high drop-out rate and lack of education among children and very poor health facilities in tribal areas; (c) the details of steps taken by the Government to improve the social indices of tribal communities including the amount spent in this regard; . (d) whether the Government has not taken any steps for rehabilitation of the tribal people displaced by development schemes; and (e) if so, the main reasons therefor?",2021-11-29,STARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Kanpur'],['']
8,Statue of Unity Like Initiatives,"['Kundariya, Shri Mohanbhai Kalyanji']",TOURISM,"Will the Minister of TOURISM be pleased to state: (a) whether the Government assumes the Statue of Unity as a model initiative of the Government of Gujarat to boost tourism; (b) whether the Government proposes to direct the other State Governments to take similar initiatives; (c) if so, the details thereof; (d) whether the Government proposes to identify similar locations State-wise to develop such initiatives under the Central Financial Assistance to boost tourism; and (e) if so, the details thereof and if not, the reasons therefor?",2021-11-29,STARRED,['Bharatiya Janata Party'],['Gujarat'],['Rajkot'],['']
9,Janjatiya Gaurav Divas,"['Singh Deo, Smt. Sangeeta Kumari', 'Majumdar, Dr. Sukanta']",TRIBAL AFFAIRS,"Will the Minister of TRIBAL AFFAIRS be pleased to state: (a) whether the Government has sanctioned 10 tribal freedom fighter museums across the country; (b) if so, the details thereof; (c) whether the Government has also approved declaration of 15th November as Janjatiya Gaurav Divas dedicated to the memory of brave tribal freedom fighters; (d) if so, the details thereof; and (e) the other steps being taken by the Government to acknowledge the glorious history and cultural heritage of tribal communities in the country including Odisha and West Bengal?",2021-11-29,STARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party']","['Odisha', 'West Bengal']","['Bolangir', 'Balurghat']","['', '']"
10,"Kendriya Vidyalaya in Hardoi, Uttar Pradesh","['Rawat, Shri Ashok Kumar']",EDUCATION,"Will the Minister of EDUCATION be pleased to state: (a) whether the Government proposes to establish a Kendriya Vidyalaya in Sandila in Misrikh Parliamentary Constituency, Hardoi district, Uttar Pradesh; (b) if so, the details thereof; and (c) if not, the reasons therefor? 3",2021-11-29,STARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Misrikh'],['SC']
